stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
S4700,,つきしろの街入口,,26.152363,127.789283,S4700,,,
S4717,,西つきしろ,,26.159296,127.788643,S4717,,,
S4697,,つきしろの街,,26.159797,127.791194,S4697,,,
S4735,,東つきしろ,,26.161196,127.793599,S4735,,,
S4599,,沖縄刑務所前,,26.161492,127.803229,S4599,,,
S4721,,ニライカナイ橋,,26.167189,127.812589,S4721,,,
S4695,,知念小学校前,,26.169746,127.820685,S4695,,,
S4623,,久手堅,,26.169794,127.822245,S4623,,,
S4667,,斎場御嶽入口,,26.169203,127.825109,S4667,,,
S4693,,知念海洋レジャーセンター前,,26.175363,127.828425,S4693,,,
S4554,,あざまサンサンビーチ入口,,26.178101,127.824903,S4554,,,
S4552,,安座真港,,26.179137,127.826667,S4552,,,
S4551,,安座真,,26.177996,127.822342,S4551,,,
S4689,,知名,,26.183714,127.818709,S4689,,,
S4560,,板馬,,26.188725,127.817368,S4560,,,
S4580,,海野,,26.189119,127.811632,S4580,,,
S4582,,海野入口,,26.188720,127.809790,S4582,,,
S5710,,あかし内科クリニック前,,26.187370,127.806974,S5710,,,
S4625,,久原,,26.185422,127.803670,S4625,,,
S4704,,仲伊保,,26.180994,127.798715,S4704,,,
S4784,,屋比久,,26.176700,127.799766,S4784,,,
S4673,,第二手登根,,26.171917,127.799870,S4673,,,
S4702,,手登根,,26.169884,127.797120,S4702,,,
S4634,,佐敷,,26.167607,127.791897,S4634,,,
S4653,,シュガーホール入口,,26.167711,127.788216,S4653,,,
S4636,,佐敷小学校前,,26.167908,127.786440,S4636,,,
S4615,,兼久,,26.169688,127.781876,S4615,,,
S4788,,老人福祉センター入口,,26.171771,127.777581,S4788,,,
S4663,,新里入口,,26.173985,127.774148,S4663,,,
S4656,,新開,,26.177209,127.773863,S4656,,,
S4728,,馬天入口,,26.183678,127.774259,S4728,,,
S4730,,馬天自動車学校前,,26.184359,127.776994,S4730,,,
S4601,,沖縄メディカル病院前,,26.186502,127.775498,S4601,,,
S4732,,馬天小学校前,,26.180574,127.769246,S4732,,,
S4603,,小谷,,26.175179,127.767790,S4603,,,
S4658,,新里,,26.171784,127.771786,S4658,,,
S4631,,小羊保育園前,,26.154833,127.780589,S4631,,,
S4670,,第二喜良原,,26.152491,127.776875,S4670,,,
S4618,,喜良原,,26.152867,127.773786,S4618,,,
S4669,,世利田,,26.155680,127.772370,S4669,,,
S4561,,糸数,,26.152019,127.761662,S4561,,,
S4563,,糸数入口,,26.148636,127.760260,S4563,,,
S4782,,屋嘉部入口,,26.147504,127.762040,S4782,,,
S4684,,玉城中学校前,,26.144293,127.765156,S4684,,,
S4748,,富里,,26.142826,127.767794,S4748,,,
S4642,,志堅原,,26.136152,127.769097,S4642,,,
S4644,,志堅原入口,,26.134283,127.770256,S4644,,,
S4585,,奥武島,,26.131577,127.772348,S4585,,,
S4616,,玉泉洞前,,26.141136,127.747629,S4616,,,
S4765,,前川,,26.143034,127.747055,S4765,,,
S4768,,前川入口,,26.146268,127.744923,S4768,,,
S4751,,船越,,26.152327,127.751502,S4751,,,
S4754,,船越入口,,26.156121,127.749179,S4754,,,
S4555,,愛地,,26.159670,127.745799,S4555,,,
S4780,,目取真入口,,26.160626,127.740928,S4780,,,
S4790,,湧稲国,,26.160206,127.737777,S4790,,,
S4791,,湧稲国入口,,26.160751,127.730875,S4791,,,
S4566,,稲嶺,,26.164996,127.734709,S4566,,,
S4568,,稲嶺入口,,26.167610,127.737119,S4568,,,
S4570,,稲嶺十字路,,26.169910,127.740318,S4570,,,
S4678,,高宮城,,26.172424,127.744110,S4678,,,
S4707,,仲程南,,26.174107,127.745861,S4707,,,
S4592,,大里中学校前,,26.178394,127.747346,S4592,,,
S4676,,平良入口,,26.180859,127.747375,S4676,,,
S4758,,古堅入口,,26.185142,127.748076,S4758,,,
S4756,,古堅,,26.188417,127.746273,S4756,,,
S4650,,島袋,,26.189657,127.745829,S4650,,,
S4746,,福原,,26.193118,127.745244,S4746,,,
