route_id,service_id,trip_id,direction_id,block_id,shape_id
708,平日運行ダイヤ(R7),e4bd7e9db5555d24b58b559e9154233c,,,shapes_708_1
708,休日運行ダイヤ(R7),c5dc07c24881c1cfb8d3d91a4bd0a2c0,,,shapes_708_1
708,休日運行ダイヤ(R7),18465d11ff4a1028b03085d047758e02,,,shapes_708_1
708,休日運行ダイヤ(R7),23302fb7feb055442de55d572d391e5a,,,shapes_708_1
708,休日運行ダイヤ(R7),0a1d0ebb61caff3a7d067cc28746433e,,,shapes_708_1
708,休日運行ダイヤ(R7),b7e2b6a860d7ad9260acc69fad1ae907,,,shapes_708_1
708,休日運行ダイヤ(R7),3cc9f0517bc31eed687876cd711129c9,,,shapes_708_1
708,休日運行ダイヤ(R7),ce9862a64d6d796c71540231cc370999,,,shapes_708_1
708,休日運行ダイヤ(R7),7fc5d55bf069b2d2277be0a5e6f65448,,,shapes_708_1
713,平日運行ダイヤ(R5),764ed0fc5506b5bf86e7bc4b5e3d163f,,,shapes_713_1
713,平日運行ダイヤ(R6),7705ee8682912394447bab364e316f66,,,shapes_713_1
713,平日運行ダイヤ(R7),973600d755d2cdaf6127fa5c17d017b1,,,shapes_713_1
714,平日運行ダイヤ(R5),01aea360aea887b90143d7c620e46582,,,shapes_714_1
714,平日運行ダイヤ(R5),859b30cf117b3c053465d74ae7a5786b,,,shapes_714_1
714,平日運行ダイヤ(R5),5f9e231283588f7f4585ae4f1a2d6496,,,shapes_714_1
714,平日運行ダイヤ(R5),124431f8f0287378e4f742e7faaa492a,,,shapes_714_1
714,休日運行ダイヤ(R5),ce9d3bc91f8b1d3c383b926dd572ea90,,,shapes_714_1
714,休日運行ダイヤ(R5),9ee805da75bc457b8d5cfcab079a07ee,,,shapes_714_1
714,平日運行ダイヤ(R6),0e58638b9b70a0fd2353e0d8e6f21fc8,,,shapes_714_1
714,平日運行ダイヤ(R6),7993ad26486f795037b690f6eb1439d7,,,shapes_714_1
714,平日運行ダイヤ(R6),bd6b4820514f0575d59b81b2607c671f,,,shapes_714_1
714,平日運行ダイヤ(R6),d17a6b66e1af81284931f227030191de,,,shapes_714_1
714,休日運行ダイヤ(R6),fe6b1f76d3b54d8cc60b4348e564d9b0,,,shapes_714_1
714,休日運行ダイヤ(R6),79ec14d95819dae9422c3fa3fd768b14,,,shapes_714_1
